Model,Ambrosia,Artemisia,Betula,Corylus,"Cupressaceae, Taxaceae",Fraxinus,Olea europaea,Ostrya carpinifolia,Poaceae,Urticaceae
ridge,-0.005474764720996506,0.11544589007848094,0.40724081349194086,0.408589996160151,0.3476922055658338,0.21600135088796946,0.23968512601157888,0.48113738940935924,0.4078199552490773,0.5436034506012598
lasso,0.04899860835145109,0.15883382597326,0.41283728903044126,0.4172331014514572,0.34425308875416605,0.22298238626335043,0.23169628346539772,0.4817792438471966,0.40332169166625964,0.5444721496741411
Linear SVR,0.07191455205310504,0.20733112500731465,0.2544312085810849,0.3882254514233231,0.04753434609574059,-0.4868347590284394,0.31372891951333515,0.01267014611644901,-1.547484572779073,-0.03270383224372608
K neighbors,-0.07664133209206891,-0.5505644616649881,0.3368422374917954,0.10997100879358257,0.5622042937458698,0.20572456572315345,0.166104720937446,0.5082664621002994,-0.18337782014994009,0.31913424791820044
Gradient Boosting,-5.178103022964485,-5.732166817543208,-0.3408997863715222,-4.490235669072695,0.1512795843784962,0.0786319702616114,0.21864707498015634,0.1222746101339025,-1.7093823819775578,0.004383504123646187
random_forest,-3.869492863664112,-0.9871496607942045,0.40995411254277747,0.19168844623129344,0.4369591423325039,0.48003697690266844,0.2955804579657826,0.7056821655252136,0.568411273598511,0.13028214303922325
